condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
punish,2.0,17,0.0166015625,0.017578125,0.012138479389312552,0.53125,1.114096466873493,0.9375,0.75390625,1.0187265917602997,0.19503575851718463,0.08386609829814927,0.11659736882234524
no_learning,2.0,18,0.0194091796875,0.0166015625,0.015324079067071053,0.62109375,1.0829756708767457,0.9375,0.646484375,1.06,0.29221801226448024,0.10120292459361672,0.14781212074136948
encourage,2.0,18,0.022216796875,0.021484375,0.018591593128413988,0.7109375,0.9219743060919594,0.96875,0.548828125,1.116564417177914,0.3655740031835202,0.14326586085002366,0.24045044553387734
punish,2.0,18,0.017333984375,0.015625,0.011777096772648767,0.5546875,1.2330639794202691,0.9375,0.751953125,1.0289855072463767,0.22547253976415102,0.08631584731539695,0.11798396510259339
no_learning,2.0,19,0.0167236328125,0.0166015625,0.013557500629766198,0.53515625,0.9655867584458361,0.9375,0.677734375,1.0538461538461539,0.1969280943420339,0.11726136044749376,0.15787860695524444
encourage,2.0,19,0.02154541015625,0.0146484375,0.021303193188569776,0.689453125,1.1487281068328286,0.9375,0.59765625,1.1170886075949367,0.2969426604190467,0.14444483721253265,0.2231890902597329
punish,2.0,19,0.015380859375,0.0126953125,0.012683569538926307,0.4921875,0.9722404357172921,0.9375,0.716796875,1.0413223140495869,0.14853844407734434,0.0948490508869109,0.12425413760650655
no_learning,2.43,0,0.00579833984375,0.00390625,0.00925784823253834,0.185546875,0.5437375122039442,0.59375,0.87109375,1.0,0.09956890061940157,0.07141216659179082,0.09535209826965275
encourage,2.43,0,0.0062255859375,0.005859375,0.009448431441903006,0.19921875,0.5756784168686868,0.59375,0.8671875,1.0,0.1275934521657352,0.07111406182204288,0.10637974983682393
punish,2.43,0,0.00567626953125,0.00390625,0.00978220485864977,0.181640625,0.5521750703804088,0.59375,0.880859375,1.0108695652173914,0.0656313590442659,0.06610090329969068,0.08941276241601401
no_learning,2.43,1,0.0062255859375,0.005859375,0.006826121230476472,0.19921875,0.561943626753109,0.75,0.86328125,1.00990099009901,0.10217659694205458,0.07936170498338965,0.09104290196148242
